first factor,second factor,RF,Retuned RF,DT,GBR,RF Retest
0%,25%,0.6568220826321649,0.2159229988993272,0.0001756003842734,0.6159945963018978,0.5878319718823413
0%,50%,0.5935333607772619,3.3383463346137084e-06,0.5639879654208917,2.5283721579516772e-08,0.2976519087703032
0%,75%,0.0034791525721958,0.006273434083805,0.6112497909793813,0.8472501326942848,0.0011607407043154
0%,100%,2.6957414847796685e-10,2.6911719784458377e-10,0.0008018153710714,1.4150640617749216e-08,1.3002220361222296e-11
25%,50%,0.8516171420672318,3.3383463346137084e-06,2.496826311919194e-12,3.9211972501652914e-12,0.0271535283991405
25%,75%,8.581716121275688e-05,0.0047599361820727,0.0001626378134998,0.9273897269934688,0.00032664984745
25%,100%,3.4747262612246324e-11,8.903918793066585e-12,9.805026882003118e-12,5.685329959198886e-08,5.077506773265749e-12
50%,75%,0.0005262736194547,0.0083895422761644,0.0460842414051764,2.2701673938427974e-11,0.160505859370632
50%,100%,1.6634122328460257e-11,3.1415253057106824e-11,9.260491030815639e-08,3.136838034396443e-13,7.643829779141767e-11
75%,100%,1.616456711672195e-07,4.983633739311882e-11,1.544148939993306e-05,5.452114608218812e-13,9.422813767860224e-08
